m,r,d,seed,n_recover,n_lib,dt,tot_iters
5,1,2,0,13,21,2.0258631706237793,5225
5,1,2,1,13,21,1.886915683746338,4950
5,1,2,2,15,21,1.030182123184204,2500
5,1,2,3,16,21,2.0260024070739746,5275
5,1,2,4,16,21,3.6845977306365967,9825
5,1,2,5,20,21,0.850250244140625,2100
5,1,2,6,13,21,1.230670690536499,3150
5,1,2,7,16,21,2.8290581703186035,7700
5,1,2,8,20,21,0.9304320812225342,2375
5,1,2,9,14,21,1.9498655796051025,5225
10,1,2,0,37,66,36.65221619606018,5600
10,1,2,1,31,66,68.99765396118164,11375
10,1,2,2,34,66,110.27399492263794,17500
10,1,2,3,37,66,45.5008602142334,6525
10,1,2,4,40,66,55.792587995529175,8875
10,1,2,5,18,66,49.3233368396759,7150
10,1,2,6,19,66,60.615291118621826,9100
10,1,2,7,29,66,67.56453704833984,10625
10,1,2,8,32,66,72.77082586288452,11275
10,1,2,9,31,66,70.34997487068176,11250
15,1,2,0,49,136,543.1456706523895,14000
15,1,2,1,49,136,461.501859664917,11700
15,1,2,2,58,136,527.816290140152,13950
15,1,2,3,42,136,415.07486629486084,10250
15,1,2,4,47,136,447.19597482681274,11700
15,1,2,5,45,136,409.17909502983093,10450
15,1,2,6,41,136,480.0831708908081,12750
15,1,2,7,42,136,401.77507281303406,10175
15,1,2,8,45,136,301.5081367492676,8225
15,1,2,9,48,136,405.10844349861145,10375
20,1,2,0,71,231,1806.5886244773865,11125
20,1,2,1,60,231,1905.0214943885803,10300
20,1,2,2,77,231,2295.7104535102844,12900
20,1,2,3,60,231,2285.8712873458862,13125
20,1,2,4,64,231,2331.2109291553497,13475
20,1,2,5,54,231,2872.75172829628,16025
20,1,2,6,104,231,2556.018392801285,15925
20,1,2,7,56,231,2880.7682406902313,17100
20,1,2,8,69,231,1710.4317135810852,10000
20,1,2,9,61,231,2030.7293355464935,10925
25,1,2,0,71,351,5946.004841089249,15850
25,1,2,1,61,351,5837.359566450119,14475
25,1,2,2,96,351,5949.627348899841,14800
25,1,2,3,86,351,6203.472745895386,15775
25,1,2,4,113,351,5719.111518621445,14600
25,1,2,5,75,351,5739.511962413788,15375
25,1,2,6,98,351,5827.329127550125,15750
25,1,2,7,114,351,6499.72868347168,15925
25,1,2,8,87,351,7412.522615909576,20075
25,1,2,9,72,351,5762.370830535889,14375
30,1,2,0,125,496,21701.890037059784,20100
30,1,2,1,69,496,16535.24135375023,14225
30,1,2,2,133,496,17396.64870119095,14975
30,1,2,3,114,496,21452.728529453278,18750
30,1,2,4,150,496,14309.523319005966,13200
30,1,2,5,74,496,15793.076320171356,14350
30,1,2,6,102,496,19473.225724697113,17025
30,1,2,7,125,496,22335.092836141586,20100
30,1,2,8,111,496,16967.10765838623,14750
30,1,2,9,122,496,22163.88223195076,19900
6,1,3,0,47,84,12.607675552368164,3075
6,1,3,1,53,84,14.711918592453003,3925
6,1,3,2,62,84,13.988219022750854,3750
6,1,3,3,40,84,28.998416662216187,8100
6,1,3,4,44,84,9.337913513183594,2150
6,1,3,5,47,84,10.170324325561523,2275
6,1,3,6,46,84,14.74400281906128,3650
6,1,3,7,49,84,8.768397808074951,1925
6,1,3,8,32,84,34.575056076049805,10000
6,1,3,9,42,84,16.831135749816895,4475
7,1,3,0,71,120,70.46189427375793,8600
7,1,3,1,50,120,64.7059223651886,8150
7,1,3,2,56,120,27.83414340019226,2800
7,1,3,3,73,120,37.24169921875,4550
7,1,3,4,51,120,64.45935606956482,8200
7,1,3,5,63,120,15.02686333656311,1475
7,1,3,6,66,120,50.05335474014282,6350
7,1,3,7,54,120,23.12265157699585,2425
7,1,3,8,85,120,22.43245267868042,2300
7,1,3,9,70,120,68.17253804206848,8550
8,1,3,0,40,165,164.3578519821167,10725
8,1,3,1,75,165,94.8476710319519,5600
8,1,3,2,77,165,128.42384481430054,7325
8,1,3,3,74,165,57.66641902923584,3050
8,1,3,4,76,165,52.586493492126465,2625
8,1,3,5,43,165,72.64655947685242,4150
8,1,3,6,59,165,164.2612602710724,10225
8,1,3,7,84,165,58.71882486343384,3500
8,1,3,8,67,165,76.5261242389679,4375
8,1,3,9,93,165,160.4536428451538,10400
9,1,3,0,95,220,103.95060801506042,2600
9,1,3,1,67,220,130.36007404327393,3575
9,1,3,2,78,220,280.27117705345154,9150
9,1,3,3,68,220,339.03350043296814,11000
9,1,3,4,55,220,350.5555577278137,10600
9,1,3,5,99,220,139.47884821891785,4025
9,1,3,6,67,220,278.09521317481995,8675
9,1,3,7,83,220,251.59240698814392,7950
9,1,3,8,64,220,129.87578105926514,3700
9,1,3,9,76,220,153.99029970169067,4400
10,1,3,0,62,286,411.0187702178955,5725
10,1,3,1,69,286,538.3510358333588,9175
10,1,3,2,92,286,391.4682021141052,6150
10,1,3,3,90,286,237.99312448501587,3025
10,1,3,4,161,286,399.34000849723816,6225
10,1,3,5,82,286,342.6245424747467,5425
10,1,3,6,76,286,326.9756803512573,5000
10,1,3,7,117,286,292.1984121799469,4100
10,1,3,8,46,286,163.03196167945862,2225
10,1,3,9,72,286,347.00332593917847,5150
11,1,3,0,141,364,341.72710704803467,2150
11,1,3,1,112,364,987.2873704433441,9175
11,1,3,2,154,364,646.2098796367645,4975
11,1,3,3,159,364,902.7542243003845,8300
11,1,3,4,144,364,457.3560297489166,3500
11,1,3,5,99,364,847.2350976467133,7650
11,1,3,6,110,364,369.9254620075226,2600
11,1,3,7,176,364,1217.2021024227142,11950
11,1,3,8,100,364,901.2719557285309,8050
11,1,3,9,110,364,1140.3430440425873,9950
12,1,3,0,121,455,1131.3020346164703,5150
12,1,3,1,94,455,2314.347335100174,13325
12,1,3,2,135,455,2335.9880023002625,11475
12,1,3,3,155,455,1796.3824481964111,9700
12,1,3,4,87,455,1003.6856756210327,4650
12,1,3,5,164,455,1136.7563524246216,5225
12,1,3,6,112,455,1658.5516362190247,8925
12,1,3,7,116,455,2308.7018926143646,14025
12,1,3,8,104,455,717.9745142459869,2800
12,1,3,9,121,455,766.4329471588135,3025
13,1,3,0,143,560,2831.2568418979645,9000
13,1,3,1,82,560,2265.5811614990234,6900
13,1,3,2,143,560,3436.0472440719604,10825
13,1,3,3,115,560,3131.0638608932495,8900
13,1,3,4,144,560,1581.0747673511505,3600
13,1,3,5,134,560,3158.4697966575623,8700
13,1,3,6,97,560,2966.3859255313873,8500
13,1,3,7,92,560,2639.823526620865,8450
13,1,3,8,117,560,3317.7499651908875,10125
13,1,3,9,151,560,2027.7319965362549,5800
14,1,3,0,158,680,5126.227468967438,12075
14,1,3,1,109,680,3128.62438249588,6900
14,1,3,2,151,680,4522.9123566150665,9225
14,1,3,3,173,680,4469.208169221878,10975
14,1,3,4,215,680,2672.209795475006,5850
14,1,3,5,216,680,2824.4506299495697,5975
14,1,3,6,113,680,3680.0844674110413,8650
14,1,3,7,106,680,3800.450962781906,8675
14,1,3,8,89,680,2453.8438136577606,5350
14,1,3,9,133,680,5744.480199098587,14250
15,1,3,0,193,816,4196.487614154816,5400
15,1,3,1,153,816,9455.591453075409,13850
15,1,3,2,182,816,3346.022910118103,3425
15,1,3,3,173,816,8685.36520910263,13525
15,1,3,4,122,816,6151.385751724243,9000
15,1,3,5,242,816,6986.663413286209,10500
15,1,3,6,147,816,11142.120438337326,15150
15,1,3,7,144,816,9476.441548585892,15875
15,1,3,8,170,816,8183.8359179496765,12450
15,1,3,9,185,816,8987.757882356644,13175
16,1,3,0,275,969,12005.957718610764,14900
16,1,3,1,155,969,12042.939715147018,13900
16,1,3,2,294,969,10388.667934894562,12000
16,1,3,3,122,969,11433.873869657516,13525
16,1,3,4,233,969,9292.5349547863,10650
16,1,3,5,183,969,5116.067367315292,5175
16,1,3,6,142,969,12517.488213539124,15125
16,1,3,7,155,969,11692.373953580856,14075
16,1,3,8,169,969,3905.8642756938934,2925
16,1,3,9,166,969,12286.021610736847,14125
5,1,4,0,85,126,10.49347448348999,2000
5,1,4,1,33,126,35.65742063522339,9725
5,1,4,2,68,126,10.145029067993164,1925
5,1,4,3,69,126,12.050244092941284,2475
5,1,4,4,60,126,11.841947793960571,2375
5,1,4,5,62,126,20.321719884872437,4925
5,1,4,6,74,126,12.49503779411316,2575
5,1,4,7,77,126,15.032672643661499,3025
5,1,4,8,93,126,13.732880115509033,2725
5,1,4,9,78,126,29.367278337478638,7350
6,1,4,0,143,210,44.3019540309906,2550
6,1,4,1,84,210,93.19436693191528,7225
6,1,4,2,73,210,67.28834915161133,5125
6,1,4,3,138,210,39.556621074676514,2325
6,1,4,4,126,210,57.74183201789856,4225
6,1,4,5,106,210,68.36372256278992,4775
6,1,4,6,101,210,46.76335263252258,3000
6,1,4,7,103,210,47.8569712638855,3150
6,1,4,8,83,210,35.782033920288086,2250
6,1,4,9,82,210,125.28896522521973,10050
7,1,4,0,130,330,153.74107670783997,3550
7,1,4,1,120,330,447.8231830596924,12950
7,1,4,2,141,330,156.25442242622375,3250
7,1,4,3,189,330,132.07777428627014,2825
7,1,4,4,180,330,154.25755906105042,3150
7,1,4,5,91,330,137.0503990650177,3100
7,1,4,6,96,330,114.79060316085815,2375
7,1,4,7,204,330,203.9121606349945,4900
7,1,4,8,173,330,183.0104410648346,4550
7,1,4,9,90,330,202.69161677360535,5300
8,1,4,0,220,495,1044.0142619609833,11450
8,1,4,1,123,495,433.99738240242004,3425
8,1,4,2,214,495,455.2682263851166,3725
8,1,4,3,267,495,950.7074687480927,10125
8,1,4,4,235,495,680.6262907981873,6625
8,1,4,5,232,495,298.2215142250061,1575
8,1,4,6,264,495,485.1988639831543,4325
8,1,4,7,224,495,612.7688307762146,5650
8,1,4,8,233,495,278.05330061912537,1625
8,1,4,9,171,495,420.43087911605835,3350
9,1,4,0,262,715,933.8034038543701,2175
9,1,4,1,147,715,2347.5294094085693,10125
9,1,4,2,288,715,1240.3700776100159,4225
9,1,4,3,229,715,1436.108095407486,5125
9,1,4,4,231,715,2239.284243822098,9300
9,1,4,5,233,715,815.861296415329,1725
9,1,4,6,242,715,1504.4454085826874,5150
9,1,4,7,216,715,1392.2169382572174,4600
9,1,4,8,294,715,1690.8407745361328,6375
9,1,4,9,159,715,2153.0876960754395,8975
10,1,4,0,405,1001,3078.7013037204742,4325
10,1,4,1,147,1001,4593.522067308426,7925
10,1,4,2,448,1001,6388.6290736198425,12025
10,1,4,3,389,1001,5817.203120708466,10950
10,1,4,4,370,1001,5763.178308725357,10575
10,1,4,5,282,1001,5886.078652381897,10275
10,1,4,6,219,1001,4075.1528255939484,6500
10,1,4,7,370,1001,5319.157423734665,9525
10,1,4,8,146,1001,3890.7730519771576,6125
10,1,4,9,213,1001,5620.025773763657,10000
5,2,2,0,19,21,1.0902018547058105,2725
5,2,2,1,18,21,3.2231712341308594,8900
5,2,2,2,18,21,1.9230878353118896,5050
