m,r,d,seed,n_recover,n_lib,dt,tot_iters
5,1,2,0,13,21,0.18449640274047852,2950
5,1,2,1,13,21,0.10300040245056152,1050
5,1,2,2,15,21,0.26525330543518066,1300
5,1,2,3,14,21,0.17135071754455566,1200
5,1,2,4,16,21,0.1913762092590332,2625
5,1,2,5,18,21,0.20333480834960938,2375
5,1,2,6,12,21,0.08760809898376465,675
5,1,2,7,13,21,0.20462703704833984,1600
5,1,2,8,19,21,0.13162803649902344,1100
5,1,2,9,13,21,0.14455890655517578,800
10,1,2,0,32,66,1.3457353115081787,5725
10,1,2,1,33,66,0.8488790988922119,2200
10,1,2,2,37,66,1.1921906471252441,5925
10,1,2,3,37,66,1.6561758518218994,5775
10,1,2,4,32,66,1.3005599975585938,3850
10,1,2,5,24,66,1.5515084266662598,5400
10,1,2,6,29,66,1.05385422706604,3250
10,1,2,7,29,66,1.7541697025299072,7675
10,1,2,8,33,66,2.022731304168701,8150
10,1,2,9,31,66,0.4578871726989746,2200
15,1,2,0,52,136,14.09213662147522,14550
15,1,2,1,41,136,10.024661779403687,12450
15,1,2,2,58,136,6.6946120262146,7700
15,1,2,3,49,136,8.630062818527222,9325
15,1,2,4,55,136,9.303839206695557,10675
15,1,2,5,41,136,6.891675233840942,7975
15,1,2,6,49,136,10.656480550765991,10775
15,1,2,7,45,136,8.797264099121094,9700
15,1,2,8,42,136,10.407344341278076,12975
15,1,2,9,51,136,12.021986484527588,14725
20,1,2,0,75,231,12.788176774978638,10225
20,1,2,1,63,231,9.959346532821655,7450
20,1,2,2,74,231,15.779860019683838,11600
20,1,2,3,55,231,16.892175436019897,12750
20,1,2,4,70,231,14.54025411605835,11300
20,1,2,5,54,231,11.45008397102356,7950
20,1,2,6,98,231,16.796546697616577,12975
20,1,2,7,69,231,15.042585611343384,11450
20,1,2,8,90,231,16.922860622406006,12625
20,1,2,9,84,231,14.957339763641357,11325
25,1,2,0,71,351,16.19334888458252,8000
25,1,2,1,69,351,23.491275310516357,10925
25,1,2,2,91,351,19.1352698802948,8950
25,1,2,3,84,351,32.698795557022095,16025
25,1,2,4,129,351,27.920965433120728,14425
25,1,2,5,99,351,29.732147693634033,13575
25,1,2,6,133,351,23.726003646850586,12050
25,1,2,7,106,351,29.77008080482483,14350
25,1,2,8,124,351,22.948453903198242,11025
25,1,2,9,76,351,27.580320596694946,13575
30,1,2,0,166,496,46.03801155090332,16350
30,1,2,1,92,496,49.15727186203003,16750
30,1,2,2,142,496,43.39045834541321,13925
30,1,2,3,139,496,46.95524573326111,15975
30,1,2,4,159,496,42.46833395957947,15100
30,1,2,5,86,496,40.519349575042725,13775
30,1,2,6,128,496,35.051257371902466,12100
30,1,2,7,133,496,38.33717703819275,14025
30,1,2,8,111,496,36.1166627407074,12375
30,1,2,9,148,496,47.980857372283936,15925
35,1,2,0,161,666,94.21796345710754,21025
35,1,2,1,103,666,56.713566064834595,14375
35,1,2,2,197,666,93.60670900344849,18850
35,1,2,3,141,666,73.53817868232727,15025
35,1,2,4,141,666,64.41051959991455,15900
35,1,2,5,131,666,62.95433020591736,13425
