m,r,d,seed,n_recover,n_lib,dt,tot_iters
5,1,1,0,17,21,0.4735875129699707,1025
5,1,1,1,13,21,0.5209150314331055,1325
5,1,1,2,16,21,1.7916200160980225,4250
5,1,1,3,18,21,1.4990863800048828,4050
5,1,1,4,15,21,1.1303155422210693,2800
5,1,1,5,16,21,1.8993732929229736,4625
5,1,1,6,16,21,1.2035152912139893,3275
5,1,1,7,16,21,2.129122018814087,5125
5,1,1,8,15,21,0.6585209369659424,1725
5,1,1,9,19,21,3.1911542415618896,8150
10,1,1,0,31,66,74.97976446151733,10350
10,1,1,1,29,66,79.42781114578247,11450
10,1,1,2,34,66,102.99303269386292,15250
10,1,1,3,25,66,62.256701946258545,10400
10,1,1,4,46,66,62.27199840545654,10325
10,1,1,5,21,66,48.537824630737305,7925
10,1,1,6,33,66,80.00077795982361,13350
10,1,1,7,29,66,57.55196166038513,9650
10,1,1,8,37,66,32.03656530380249,5225
10,1,1,9,29,66,74.59652376174927,12500
15,1,1,0,32,136,458.8446102142334,11900
15,1,1,1,47,136,457.91120529174805,10800
15,1,1,2,44,136,558.6274971961975,13275
15,1,1,3,44,136,424.81084179878235,10625
15,1,1,4,44,136,503.27529072761536,12775
15,1,1,5,40,136,264.8691794872284,5625
15,1,1,6,45,136,345.2152187824249,9075
15,1,1,7,30,136,474.21829199790955,12000
15,1,1,8,31,136,329.4891564846039,8075
15,1,1,9,37,136,428.89344024658203,9125
20,1,1,0,41,231,1817.919852733612,12750
20,1,1,1,52,231,2407.025605916977,15875
20,1,1,2,39,231,2315.943655014038,15100
20,1,1,3,47,231,2159.165744781494,12875
20,1,1,4,57,231,2316.525023460388,14275
20,1,1,5,55,231,1985.473412513733,12375
20,1,1,6,65,231,1546.9685385227203,11025
20,1,1,7,49,231,2242.9366116523743,15150
20,1,1,8,55,231,2244.823840379715,16950
20,1,1,9,54,231,2180.337059020996,14275
25,1,1,0,65,351,7027.910788536072,17675
25,1,1,1,56,351,4749.295577287674,11625
25,1,1,2,50,351,6473.028740167618,14725
25,1,1,3,48,351,5348.953095436096,13400
25,1,1,4,60,351,5294.523355722427,14625
25,1,1,5,67,351,3033.030692100525,7950
25,1,1,6,51,351,4639.200143575668,11775
25,1,1,7,60,351,6189.88897061348,15675
25,1,1,8,64,351,4569.753658771515,12700
25,1,1,9,61,351,5717.055933475494,13975
30,1,1,0,79,496,16889.759321689606,12275
30,1,1,1,67,496,15493.391166210175,10550
30,1,1,2,55,496,29140.118104934692,17975
30,1,1,3,74,496,22188.361570358276,14750
30,1,1,4,65,496,17999.461783885956,12875
30,1,1,5,70,496,18138.939784049988,12925
30,1,1,6,91,496,24734.411640882492,16550
30,1,1,7,74,496,22141.598725557327,15275
30,1,1,8,73,496,13300.567799329758,9350
30,1,1,9,68,496,18371.33171916008,11625
5,1,2,0,86,126,8.88771677017212,900
5,1,2,1,66,126,13.141924381256104,1825
5,1,2,2,89,126,7.705644130706787,725
5,1,2,3,83,126,8.692618370056152,900
5,1,2,4,81,126,9.688783884048462,975
5,1,2,5,87,126,7.977701902389526,750
5,1,2,6,82,126,9.688291072845459,950
5,1,2,7,75,126,8.839618921279907,850
5,1,2,8,99,126,8.574772119522095,850
5,1,2,9,90,126,10.52623176574707,1275
6,1,2,0,110,210,23.28540325164795,875
6,1,2,1,88,210,40.939724922180176,2125
6,1,2,2,139,210,20.791842699050903,825
6,1,2,3,119,210,27.084009885787964,1100
6,1,2,4,98,210,31.050357818603516,1225
6,1,2,5,106,210,29.22826862335205,1175
6,1,2,6,113,210,24.473907232284546,875
6,1,2,7,99,210,24.65097427368164,925
6,1,2,8,119,210,26.438327312469482,1000
